# nodes,# corrupted,total transactions(TXs),total delay(s),average delay(s/round),average throughout(TXs/s),1% longest delay(s),1% shortest delay(s),1% least throughout(TXs/s),1% largest throughout(TXs/s)
16,5,343200.0,59.155096,0.59155096,5801.697963604015,1.0194324254989624,0.42734360694885254,2797.5679788020157,6671.218798265602
25,8,340000.0,137.492867,1.3749286699999999,2472.8555554812892,1.4252935647964478,1.1062772274017334,1983.687033455226,2558.3793182466457
36,11,345000.0,327.191664,3.27191664,1054.4278414134658,3.355668783187866,2.659745375315348,856.0333834706611,1080.1558680280039
49,16,336600.0,693.77056,6.9377056,485.17481053102046,7.081278165181478,5.651705702145894,395.72546591604595,495.8544820469888
64,21,335400.0,1407.817324,14.078173240000002,238.24113702979264,14.368696689605713,11.509689291318258,194.3495234248726,242.68318635887724
