# nodes,# corrupted,total transactions(TXs),total delay(s),average delay(s/round),average throughout(TXs/s),1% longest delay(s),1% shortest delay(s),1% least throughout(TXs/s),1% largest throughout(TXs/s)
16,5,343200.0,64.898615,0.64898615,5288.248447212625,1.3435489336649578,0.4018412033716838,2092.1934236703532,7092.565082009988
25,8,340000.0,106.425637,1.0642563699999998,3194.7189566739453,1.663502852121989,0.8172622124354044,1683.0610018634698,3461.933868143928
36,11,345000.0,184.626426,1.84626426,1868.6382414183763,2.1240257024765015,1.468806783358256,1350.3946845177004,1956.1315218875488
49,16,336600.0,315.266659,3.15266659,1067.6676089621008,3.2780064741770425,2.51998241742452,853.5155575964927,1109.230736536076
64,21,335400.0,524.771166,5.24771166,639.1357256850503,6.1558051109313965,4.207073291142781,456.3852408120628,663.8552134345749
