# nodes,# corrupted,total transactions(TXs),total delay(s),average delay(s/round),average throughout(TXs/s),1% longest delay(s),1% shortest delay(s),1% least throughout(TXs/s),1% largest throughout(TXs/s)
16,5,343200.0,70.121903,0.7012190300000001,4894.333800381886,0.8388455311457316,0.549648642539978,3393.018535717623,5193.84554207142
25,8,340000.0,161.093982,1.61093982,2110.569220394589,1.6872005462646484,1.2772862911224365,1673.1076919256811,2213.2185038004827
36,11,345000.0,361.680199,3.6168019900000004,953.8813597036313,3.7106825510660806,2.9456936518351235,774.1572893191955,975.4471418523962
49,16,336600.0,740.920964,7.40920964,454.2994683033425,7.602596163749695,6.019730607668559,368.63769668840246,465.5678382701072
64,21,335400.0,1475.312367,14.75312367,227.34168539644594,15.05988903840383,12.052411079406738,185.3278728162903,231.75529471751608
